customer_return_rate,total_previous_orders,total_previous_returns,customer_history_days,days_since_last_order,cart_value,cart_item_count,multiple_sizes_same_product,max_sizes_same_product,average_product_return_rate,previous_returns_same_category,avg_days_to_return,return_abuse_label
0.0,7,0,696,17,2024.58,2,0,1,0.1842,0,0.0,0
0.0769,13,1,185,30,1557.37,1,0,1,0.2622,0,29.08,0
0.0,11,0,547,14,2041.0,1,0,1,0.0985,0,0.0,0
0.2308,13,3,685,9,1120.98,1,0,1,0.1787,0,17.94,1
0.0,18,0,920,24,1167.78,2,0,1,0.3248,0,0.0,0
0.0667,15,1,939,28,1362.8,1,0,1,0.3312,0,12.85,0
0.0625,16,1,659,13,1448.99,1,0,1,0.1856,0,27.23,0
0.0,8,0,767,26,2110.88,2,0,1,0.1568,0,0.0,0
0.2188,32,7,983,32,3882.93,1,0,1,0.1535,1,13.77,0
0.1,10,1,358,10,3214.94,2,1,2,0.0294,0,15.33,0
0.0357,28,1,606,18,2120.06,1,0,1,0.1217,0,7.78,0
0.0,10,0,491,31,1740.8,1,0,1,0.1774,0,0.0,0
0.2059,34,7,212,41,1579.67,1,0,1,0.1844,0,10.19,0
0.1852,27,5,375,17,1309.11,1,0,1,0.1754,2,13.22,1
0.2188,32,7,464,29,2205.96,1,0,1,0.1866,0,16.59,0
0.1,10,1,749,41,3209.97,2,0,1,0.1783,0,10.29,0
0.0,8,0,612,16,1441.39,1,0,1,0.0818,0,0.0,0
0.5,6,3,560,7,4796.73,2,0,1,0.1299,1,9.18,0
0.3846,13,5,279,26,1050.22,1,0,1,0.1171,3,10.52,0
0.15,20,3,989,20,1653.45,1,0,1,0.0849,1,24.55,0
0.3333,9,3,279,20,1713.26,2,0,1,0.1751,0,6.18,0
0.3333,12,4,378,23,1266.31,1,0,1,0.0982,0,20.52,0
0.3333,12,4,967,14,1364.27,1,0,1,0.1955,1,18.31,0
0.0909,11,1,705,17,1498.8,2,1,2,0.2477,1,22.69,0
0.125,8,1,822,15,1030.88,1,0,1,0.2302,0,8.45,1
0.3462,26,9,186,24,3846.94,3,0,1,0.2282,3,20.87,0
0.0,12,0,960,24,2480.62,2,1,2,0.1854,0,0.0,0
0.25,8,2,953,30,1833.46,1,0,1,0.1899,0,17.84,0
0.0714,14,1,739,32,1399.48,2,1,2,0.1296,0,20.32,0
0.25,28,7,363,14,2347.13,1,0,1,0.2236,1,13.99,0
0.0588,17,1,337,21,3452.58,3,1,3,0.2167,0,21.02,1
